number,name,position,class
0,Omar Thornton,DB,Junior
0,Girard Pringle Jr.,RB,Sophomore
1,Mohamed Toure,LB,Graduate Student
1,Malachi Toney,WR,Sophomore
2,Jordan Lyle,RB,Junior
2,Damari Brown,DB,Redshirt Junior
3,Bryce Fitzgerald,DB,Sophomore
3,Joshua Moore,WR,Sophomore
4,Cam Pruitt,LB,Junior
4,Mark Fletcher Jr.,RB,Senior
5,Luke Nickel,QB,Redshirt Freshman
5,Justin Scott,DL,Junior
6,CharMar Brown,RB,Redshirt Junior
6,Xavier Lucas,DB,Junior
7,Zechariah Poyser,DB,Redshirt Junior
7,Daylyn Upshaw,WR,Sophomore
8,Vandrevius Jacobs,WR,Redshirt Junior
8,Marquise Lightfoot,DL,Junior
9,Elija Lofton,TE,Junior
9,Chase Smith,LB,Redshirt Senior
10,Damon Wilson II,DL,Senior
10,Darian Mensah,QB,Redshirt Junior
11,Kamal Bonner,LB,Redshirt Junior
11,Dereon Coleman,QB,Freshman
12,Somourian Wingo,WR,Freshman
13,Asharri Charles,DL,Freshman
13,Vance Spafford,WR,Freshman
14,Israel Briggs,TE,Freshman
15,Brody Jennings,DB,Freshman
15,Judd Anderson,QB,Redshirt Sophomore
16,Ja'Boree Antoine,DB,Sophomore
17,Cam Vaughn,WR,Redshirt Junior
17,Ezekiel Marcelin Jr.,LB,Sophomore
18,Vinny Gonzalez,QB,Redshirt Freshman
18,Cooper Barkate,WR,Redshirt Senior
18,Armondo Blount,DL,Junior
18,Joe Borchers,QB,Redshirt Junior
19,Jaelen Waters,DB,Freshman
19,Milan Parris,WR,Freshman
20,Chris Ewald Jr.,DB,Redshirt Freshman
20,Terrell Walden II,RB,Redshirt Senior
21,Camdin Portis,DB,Freshman
21,Javian Mallory,RB,Freshman
22,Jake Weinberg,K,Redshirt Sophomore
22,Kolby Luna,WR,Redshirt Junior
23,Dylan Day,DB,Junior
24,Ethan O'Connor,DB,Redshirt Junior
25,JJ Dunnigan,DB,Freshman
25,Chris Wheatley-Humphrey,RB,Redshirt Sophomore
27,Ryan Mack,DB,Redshirt Sophomore
28,Isaiah Taylor,DB,Graduate Student
29,"Romanas ""OJ"" Frederique Jr.",DB,Junior
30,Kellen Wiley Jr.,LB,Sophomore
31,Herbert Scroggins III,DL,Sophomore
32,"Justin ""JJ"" Edwards",LB,Freshman
33,Nick Thomas,WR,Redshirt Sophomore
33,Booker Pickett Jr.,DL,Redshirt Sophomore
34,Jordan Campbell,LB,Freshman
35,Monroe Toney,DB,Redshirt Junior
35,Jack Whitehouse,RB,Redshirt Sophomore
36,Takai Azziz,DB,Junior
37,Brenden Cook,WR,Redshirt Junior
37,Cortez Redding,DB,Freshman
38,Karsten Busch,LB,Freshman
39,Casey Rizzi,LB,Redshirt Sophomore
40,Keshawn Stancil,DL,Freshman
40,Brennan Burton,WR,Redshirt Sophomore
42,Logan Nagle,DL,Freshman
43,Tyler Rowe,DB,Redshirt Senior
44,Tyson Bacon,DL,Freshman
44,Owen Ruskavich,TE,Redshirt Junior
45,Braylon Lamar,LB,Redshirt Junior
46,Adam Booker,LS,Redshirt Senior
47,Stone Stroud,DB,Redshirt Sophomore
48,Andres Williams,DB,Redshirt Sophomore
52,Isaac Chukwurah,DL,Freshman
53,Canon Pickett,OL,Freshman
55,JJ Sparks,OL,Freshman
55,Mykah Newton,DL,Redshirt Freshman
56,Johnathan Cline,OL,Redshirt Junior
57,Rhys Woodrow,OL,Freshman
58,Ben Congdon,OL,Freshman
59,Vance Diepenbrock,LS,Freshman
63,Samson Okunlola,OL,Redshirt Junior
64,Ralph Scroggins,OL,Redshirt Freshman
65,"Seuseu ""SJ"" Alofaituli",OL,Sophomore
66,Max Buchanan,OL,Sophomore
70,Joel Ervin,OL,Freshman
71,Jamal Meriweather,OL,Redshirt Junior
72,Demetrius Campbell,OL,Redshirt Freshman
73,Jaden Wilkerson,OL,Redshirt Freshman
74,Yerovi Valdes Alfonso,OL,Redshirt Sophomore
75,Jacob Hawks,OL,Sophomore
76,Ryan Rodriguez,OL,Sixth-Year Redshirt Senior
77,Juan Minaya,OL,Redshirt Sophomore
78,Matthew McCoy,OL,Redshirt Senior
79,Jackson Cantwell,OL,Freshman
80,Hunter Carver,TE,Redshirt Sophomore
81,Riply Luna,WR,Redshirt Junior
82,Jack Olsen,K,Sixth-Year Redshirt Senior
82,Dylan Reiman,TE,Redshirt Sophomore
83,Tyran Evans,WR,Freshman
84,Jack Nickel,TE,Redshirt Senior
85,Jackson Carver,TE,Redshirt Junior
86,Cole McConathy II,TE,Redshirt Sophomore
87,Gavin Mueller,TE,Freshman
88,Luka Gilbert,TE,Sophomore
88,DeAnthony Lafayette,DL,Freshman
91,Jarquez Carter,DL,Sophomore
92,Samuel Coufal,DL,Redshirt Junior
93,Fred Sainteus,DL,Freshman
94,Dylan Joyce,P,Senior
96,Tucker Tevepaugh,P,Redshirt Sophomore
97,Keona Davis,DL,Junior
97,Will Rocha,K,Redshirt Junior
99,Ahmad Moten Sr.,DL,Redshirt Senior
